Feature	IL_17_Bacillus.S.	IL_17_Bacteroides.V.	IL_17_Candida.A.	IL_17_CD3_CD28	IL_17_Clostridium.P.	IL_17_PBS	IL_17_Pseudomonas.A.	IL_17_Staph.A.
Cd69	0.00309833434615807	0.00143270296664306	0.0017739926112466	0.00731190633214466	0.00228601005224263	0.00215555856194722	0.00551254325958213	0.00545560410843547
Cd83	0.00383371275155596	0.011215117658846	0.0233560413960024	0.0152037578761833	0.00549896449477543	0.00294888772467286	0.0110854012064866	0.0106269553779217
Cdc5l	0.0061299214305129	0.00136591404012054	0.00777448664926272	0.0128713867794654	0.014632894400701	0.00294208152770171	0.00619850153571564	0.00764979797923145
Cdk5	0.00686330168647945	0.00384170705428338	0.00309369211593535	0.0101915288453945	0.00877349860317084	0.0219010727801489	0.00390330163016869	0.00424661782153828
Cfl2	0.0204379676056075	0.00929431057069449	0.00774241556168539	0.0129024311680584	0.00712786185864357	0.0234010609102065	0.00731944591600896	0.0093568745270661
Cisd3	0.00905997384339071	0.00470139755361285	0.0050349921814829	0.00701120334469268	0.0096915418084367	0.0509205320294477	0.0265146089992941	0.01402031807384
Clcn4-2	0.0168818005970243	0.0479961644289633	0.0340973133481482	0.00855322578453352	0.0180959011656522	0.069172223327369	0.0754618657828537	0.0243604326877622
Clec9a	0.00271831590962529	0.00447119662835634	0.011411687320221	0.00691898050247825	0.0109716471832689	0.0325643616235967	0.00526340896788143	0.00420305664797703
Clp1	0.00868110137829901	0.00789682614978087	0.00228294676775792	0.0208911073666118	0.00597063632788167	0.00566973329597775	0.00283024346849589	0.00510789356900982
Cnp	0.00384093406381879	0.0252803157571098	0.0107141655147947	0.00907304619020611	0.00940591275351942	0.0260330558396858	0.00395273021200517	0.00639567231986228
Col6a4	0.0090309472304548	0.0043992700275478	0.00333798099381374	0.0136825315328008	0.0179737867750198	0.0322421957195095	0.0258761591277151	0.00786547040424222
Comtd1	0.0103816320433848	0.00342957818334476	0.00503892053919256	0.054676615508386	0.0151249188392295	0.00193168675578314	0.0239317126403887	0.01795960690309
Copa	0.012902843708497	0.00983915867614975	0.010794450269774	0.0157247516266167	0.0310848984684359	0.00901148813700955	0.0189267680721036	0.00587507551320282
Coq10b	0.0125986942008435	0.0172382483332401	0.0208016452413738	0.00375945860163812	0.0178206550456876	0.00590346105830421	0.00397542285206869	0.0154874130356235
Crip1	0.00883148292129476	0.0396049675539611	0.0143511818058935	0.0647495275375867	0.0354747092454455	0.00555077360083345	0.037099886190012	0.0447421301049322
Csf2	0.105243201421845	0.0593482531658537	0.164014672940141	0.0185012320277765	0.0460273656091924	0.0159529246871381	0.0672048123874262	0.163491481440552
Csf3	0.0241356848017766	0.146742896933606	0.0711138511458132	0.0612153730963783	0.0263125056878689	0.00763433322913507	0.118396078089772	0.0175247497612791
Ctnnb1	0.0121168998439952	0.00766112013004134	0.0106632654655245	0.00816692271044289	0.0353527212925858	0.00297595069477536	0.0184725343179193	0.0216579166936047
Ctnnd2	0.0231141784885017	0.00389131045358627	0.00538257418869833	0.0303092578107675	0.0241964423587488	0.0264052312910019	0.00501928793612567	0.0106644026307538
Cxcl1	0.0152240282668609	0.0211015415145366	0.00694879372159086	0.0201218758959048	0.00586396060210431	0.010149259767848	0.0136226214712796	0.029538686394886
Cxcl10	0.00629380147742877	0.00639046650145775	0.00346137232705754	0.0036038128954281	0.00589949011612912	0.00743913959887531	0.00163167203629078	0.00113733318296825
Cyfip2	0.00938363414425188	0.0131788596322589	0.0190203105311434	0.0493843957090995	0.0311306999962164	0.0105637833230727	0.0240258796147083	0.0189652393895627
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured Bacteroidales bacterium; D_6__uncultured Bacteroidales bacterium	0.00819590570174636	0.00348830136882608	0.015765764449096	0.00402463211708082	0.021322893768799	0.00181165711438665	0.00569560648709079	0.0155211013891087
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prevotellaceae; D_5__uncultured; D_6__Prevotellaceae bacterium DJF_VR15	0.0671447532009115	0.0635729771371926	0.0186831880458154	0.352344396458963	0.146700936648329	0.0260199423740819	0.0666887521980344	0.125049510435638
D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Parasutterella; D_6__uncultured bacterium	0.00114274230456863	0.00380454965408852	0.00139785982466003	0.0138665149941884	0.00325727986483476	0.00408652987605999	0.00229392540388283	0.00638697767822272
Ddx3y	0.00722579266470259	0.00923987335801969	0.00525060519412552	0.00403384058248246	0.00355127411422296	0.000794550133253615	0.00629901531601739	0.0138941342453312
Dennd1c	0.00867785390153375	0.00471058860879995	0.00443114210037623	0.00641370094773776	0.0081770247313358	0.0153802477911261	0.00257347416149417	0.00317552107371204
Dennd2d	0.00371555387494852	0.00300612472956789	0.00470583813593112	0.00408064367816302	0.00455952555634104	0.0141434120987729	0.0057705753845518	0.00597891318621122
Dmxl2	0.0389482511811505	0.015975043221916	0.0358969483422513	0.0381083407097006	0.0493030579095288	0.00859562750326105	0.0359015326203352	0.0408335225410442
Dnajb1	0.00768715967125973	0.00870453497336936	0.00672729541791443	0.0119999000068657	0.00380568322318966	0.000780553631073353	0.0164584372321355	0.0101308293813897
Dnajb4	0.0109585462787549	0.00215927902015066	0.00688555648799246	0.00349370638479168	0.0110121041749869	0.00332610183260711	0.0130356902428997	0.00373436113664835
Dock8	0.00437052578949963	0.00513603802445308	0.0107081072293602	0.00542272447089376	0.022087843132273	0.00163881836390172	0.0118500874092512	0.0227797722269013
Dusp1	0.00125479495245347	0.00542164182763644	0.00335206211691043	0.00627831816791443	0.00695361531887786	0.00212871422501631	0.00251301353509324	0.00174090506179788
Dusp10	0.010143565826763	0.00306723621451835	0.00290282784799793	0.0367228652257035	0.00681904392301116	0.00686329281943563	0.00345341532953161	0.00494183450764779
Ebf3	0.0760414550696093	0.0890599883742802	0.0878592778842636	0.00647158530133165	0.0179894334349277	0.0230723101193764	0.0133918791957655	0.0698347870214107
Eef2	0.00966967463324059	0.0252378626062455	0.0276184468045831	0.0282747581540179	0.00375314554127821	0.00564751731010399	0.00897037721385496	0.0242144231342557
Efcab12	0.0247774987656566	0.0821961319764731	0.0261486390921139	0.0504419994358675	0.0862882330617864	0.0152169422147284	0.05957655594711	0.0471682320363224
