Genes	module
Serinc5	18.2
Serpini1	18.2
Sipa1l3	18.2
Slain1	18.2
Slc23a2	18.2
Slc35a1	18.2
Slc35b4	18.2
Slc7a1	18.2
Smarcb1	18.2
Snx19	18.2
Thap11	18.2
Tmed4	18.2
Tpm2	18.2
Txnl4b	18.2
Wash	18.2
Wdtc1	18.2
Ylpm1	18.2
Zfp142	18.2
Zfp945	18.2
Znf512b	18.2
0610012G03Rik	19.1
Bap1	19.1
Cdc5l	19.1
Chtf8	19.1
Cox7b	19.1
Cpne3	19.1
Faah	19.1
Hgs	19.1
Ikzf3	19.1
Kcmf1	19.1
Pmvk	19.1
Pnrc2	19.1
Pycr2	19.1
Txn1	19.1
Uspl1	19.1
1110054M08Rik	19.2
1810011H11Rik	19.2
A630033H20Rik	19.2
Acss2	19.2
Adam10	19.2
Adamts5	19.2
Adrbk2	19.2
Agxt2l2	19.2
Aifm1	19.2
Aldh1l1	19.2
Ankrd13d	19.2
Atp8b2	19.2
Bhlha15	19.2
Ccdc22	19.2
Cdip1	19.2
Clasp1	19.2
Cml1	19.2
Cnst	19.2
Commd1	19.2
Cops7a	19.2
Deb1	19.2
Dgcr2	19.2
Egfl8	19.2
Eif2ak3	19.2
Erlec1	19.2
Fbxl17	19.2
Fem1a	19.2
Gbp9	19.2
Gfpt2	19.2
Gm5148	19.2
Gpatch3	19.2
Gpr137b	19.2
H2-T23	19.2
Hira	19.2
Hspb11	19.2
Igsf3	19.2
Impad1	19.2
Ipo11	19.2
Itga2b	19.2
Kat8	19.2
L3mbtl3	19.2
Lancl1	19.2
Larp1b	19.2
Meis1	19.2
Mettl9	19.2
Mmgt2	19.2
Mnat1	19.2
Mrps11	19.2
Myzap	19.2
Ndst1	19.2
Nfx1	19.2
Nrde2	19.2
Ogn	19.2
Pacs2	19.2
Parp11	19.2
Pcdh15	19.2
Pcp4	19.2
Phf7	19.2
Plod1	19.2
Pnp	19.2
Polr3d	19.2
Prkar2b	19.2
Prrc1	19.2
Psmg1	19.2
Rab19	19.2
Rcn1	19.2
Rhoq	19.2
Rilpl1	19.2
Rptor	19.2
Rundc1	19.2
Rxrg	19.2
Secisbp2	19.2
Sfxn2	19.2
Sh3bp2	19.2
Slc39a3	19.2
Slc39a5	19.2
Slc7a6	19.2
Smpd2	19.2
Stab2	19.2
Stx17	19.2
Surf2	19.2
Tk1	19.2
Tubb2a	19.2
Wdr53	19.2
Zbtb9	19.2
Zc3h12a	19.2
Zfp609	19.2
Zfp687	19.2
1600029O15Rik	20
2810002D19Rik	20
A430005L14Rik	20
A830080D01Rik	20
AI597479	20
Acp1	20
Ahsa1	20
Alg12	20
Ankrd32	20
Arhgap27	20
Atg5	20
BC005624	20
Bzw1	20
C2cd5	20
Ccdc132	20
Ccdc71l	20
Cdc14a	20
Chuk	20
Cst3	20
Cyb5r4	20
Dcaf17	20
Dctn5	20
Ddx17	20
Ddx26b	20
Dhx57	20
Dip2b	20
Dok2	20
Ell3	20
Emg1	20
Epg5	20
Fam76b	20
Fam96a	20
Fnbp4	20
Gcfc2	20
Gm10767	20
Gm14085	20
Grn	20
Gucd1	20
H19	20
H2-Ab1	20
Hlcs	20
Hnrnpk	20
Iqcc	20
Klhl20	20
Lrch1	20
Malt1	20
Mcm2	20
Mcm3ap	20
Mettl3	20
Msh2	20
Myb	20
Ngdn	20
Pex14	20
Phf1	20
Plvap	20
Polr3a	20
Pom121	20
Ptrh1	20
Rabgap1l	20
Ranbp2	20
Rmi1	20
Rnf219	20
Rpl4	20
