alpha	lambda	MSE	num	Log2_MSE	combo
0.531	3.48487878787879	4.63182870477467	6	2.49360345426457	0.531;3.485
0.531	3.43437474747475	4.63182870477467	6	2.49360345426457	0.531;3.434
0.531	3.38387070707071	4.63182870477467	6	2.49360345426457	0.531;3.384
0.531	3.33336666666667	4.63182870477467	6	2.49360345426457	0.531;3.333
0.531	3.28286262626263	4.63182870477467	6	2.49360345426457	0.531;3.283
0.531	3.23235858585859	4.63182870477467	6	2.49360345426457	0.531;3.232
0.531	3.18185454545455	4.63182870477467	6	2.49360345426457	0.531;3.182
0.531	3.13135050505051	4.63182870477467	6	2.49360345426457	0.531;3.131
0.531	3.08084646464647	4.63182870477467	6	2.49360345426457	0.531;3.081
0.531	3.03034242424242	4.63182870477467	6	2.49360345426457	0.531;3.03
0.531	2.97983838383838	4.63182870477467	6	2.49360345426457	0.531;2.98
0.531	2.92933434343434	4.63182870477467	6	2.49360345426457	0.531;2.929
0.531	2.8788303030303	4.63182870477467	6	2.49360345426457	0.531;2.879
0.531	2.82832626262626	4.63182870477467	6	2.49360345426457	0.531;2.828
0.531	2.77782222222222	4.63182870477467	6	2.49360345426457	0.531;2.778
0.531	2.72731818181818	4.63182870477467	6	2.49360345426457	0.531;2.727
0.531	2.67681414141414	4.63182870477467	6	2.49360345426457	0.531;2.677
0.531	2.6263101010101	4.63182870477467	6	2.49360345426457	0.531;2.626
0.531	2.57580606060606	4.63182870477467	6	2.49360345426457	0.531;2.576
0.531	2.52530202020202	4.63182870477467	6	2.49360345426457	0.531;2.525
0.531	2.47479797979798	4.63182870477467	6	2.49360345426457	0.531;2.475
0.062	0.303124242424242	4.63182953712381	4	2.49360366748588	0.062;0.303
0.635	1.76774141414141	4.63185065601993	3	2.49360907746311	0.635;1.768
0.271	3.68689494949495	4.63187211183468	8	2.49361457372721	0.271;3.687
0.218	4.14143131313131	4.631889606859	6	2.49361905535341	0.218;4.141
0.948	1.26270101010101	4.63193079280219	8	2.49362960572689	0.948;1.263
0.375	1.81824545454545	4.6319427599487	9	2.49363267126963	0.375;1.818
0.271	3.28286262626263	4.63194736940554	2	2.49363385204119	0.271;3.283
0.271	3.93941515151515	4.63195614694552	1	2.49363610051808	0.271;3.939
0.531	2.22227777777778	4.63198919399309	2	2.49364456590214	0.531;2.222
1	1.11118888888889	4.63199735003817	4	2.49364665515992	1;1.111
0.948	1.41421313131313	4.63200438112958	4	2.49364845624642	0.948;1.414
0.427	2.47479797979798	4.63202571030985	9	2.49365391992192	0.427;2.475
0.166	4.79798383838384	4.63207794706839	1	2.49366730078466	0.166;4.798
0.531	1.26270101010101	4.63211595631814	2	2.49367703707944	0.531;1.263
0.739	0.606148484848485	4.63214519669135	1	2.49368452712976	0.739;0.606
0.583	2.1212696969697	4.63216092630405	6	2.49368855632321	0.583;2.121
0.166	3.08084646464647	4.63217399541503	2	2.4936919040116	0.166;3.081
0.218	3.98991919191919	4.63218425883723	2	2.49369453300971	0.218;3.99
0.583	5	4.63221955337929	6	2.49370357374754	0.583;5
0.583	4.94949595959596	4.63221955337929	6	2.49370357374754	0.583;4.949
0.583	4.89899191919192	4.63221955337929	6	2.49370357374754	0.583;4.899
0.583	4.84848787878788	4.63221955337929	6	2.49370357374754	0.583;4.848
0.583	4.79798383838384	4.63221955337929	6	2.49370357374754	0.583;4.798
