Feature	IL_1b_Bacillus.S.	IL_1b_Bacteroides.V.	IL_1b_Candida.A.	IL_1b_CD3_CD28	IL_1b_Clostridium.P.	IL_1b_PBS	IL_1b_Pseudomonas.A.	IL_1b_Staph.A.
Jun	0.00166914306313295	0.00338251018597775	0.00275644924306165	0.000457292985706668	0.00366564274682567	0.00134000571206702	0.00257159998708752	0.00260822967882234
Lrrc14	0.00352800090309309	0.0106978257295513	0.0102574781324565	0.00835814939511833	0.00882112049113349	0.00111029346541585	0.0165631642039361	0.00619072340092819
Magi2	0.0350111958366031	0.0358904402295682	0.0508742810138323	0.030558677173017	0.0312525442648163	0.0217112691090308	0.0469542385041382	0.0434905371722829
Map3k14	0.00161206540436867	0.00477011434115483	0.0026494914955093	0.00302084126329814	0.00275778575602717	0.000575053975075215	0.00580866560294723	0.000769446484853304
Mir22hg	0.00197895616012044	0.00278725747708511	0.00393625501489302	0.00136569319407511	0.00542070111693389	0.00136656573370608	0.00217203953475388	0.00451795063290399
Ms4a6b	0.00350438296336841	0.0067975698690155	0.00552665281947421	0.00221486070828262	0.00624375079729023	0.00432952338811547	0.0032635727419589	0.00513831067109844
Ncl	0.00402509299835248	0.00631923201346114	0.00501978422762109	0.0032834367872076	0.00350696058344631	0.000994413628587348	0.000725830413945481	0.00382132558488822
Nos3	0.0485639781892761	0.0333582659179169	0.0618916994184359	0.0463249429461925	0.0349189801687386	0.0263144966740554	0.042910201758868	0.0592200821888658
Nts	0.0593023233307496	0.0666918655491859	0.0790940775991546	0.0670595559083407	0.0281383064430917	0.013818351312409	0.0516507062473327	0.064412382962492
Nup54	0.01501396589381	0.00684452453702638	0.0101651642930626	0.00567112174007598	0.0108134129159497	0.00446708320404	0.00612426686213316	0.010087351863287
Prdx5	0.0103562532870071	0.0134114499203731	0.0122763852729138	0.0110459984442859	0.00751685080404022	0.00190310546410518	0.0114425384508827	0.00666344786000813
Rac2	0.003316625888016	0.0182026116826652	0.0110633600207207	0.00497568804980399	0.0147391428863304	0.00772126443197011	0.0203922646316575	0.00669591503255792
Rapsn	0.00709367096183358	0.0071874506097192	0.012441796219412	0.00721047061793886	0.0133532971587736	0.00423606276022328	0.00724537271884328	0.00989354007577586
Rbmx	0.00156976553576994	0.00237788611414921	0.00317358282849296	0.00241521350220867	0.00399849024342858	0.00181135839062315	0.00372598333776773	0.00201725231597214
Robo4	0.00372995452342878	0.00460446942886044	0.00318848872894269	0.00170860331337725	0.00974611693207559	0.0019301058255975	0.0152923320006126	0.00423452209422251
Rpl9	0.0295012663416422	0.024571317924957	0.0296792966748028	0.0196919660840348	0.0193424318966035	0.0118128813423169	0.0122101402816527	0.0205014545406408
Ryr3	0.0323801192401199	0.0282030494933419	0.0280647604628201	0.0227437084966653	0.0195814742860572	0.0225557370765494	0.0201000473707906	0.0275167805210565
Sec61b	0.00768662122397924	0.00942515939050241	0.00938014234827222	0.00633172591232951	0.00476488640990406	0.00165473524907913	0.00564015527719413	0.00628994972825405
Slc3a1	0.00186029484316096	0.00445478123298991	0.00528678558019673	0.00439103648894476	0.00563973865597742	0.00212292377311221	0.00640515814684472	0.00715768897293482
Smpd2	0.00291661000756494	0.00846099013471159	0.00832721867688328	0.00338073677146545	0.00794627372462551	0.00500588090639095	0.0125491456947977	0.00621488830963609
Snrpe	0.00205800354532345	0.00196649091652945	0.00221302955253329	0.0011705520522557	0.0019052386768285	0.00103838796638655	0.00106313733921219	0.00224773969102212
Sowahc	0.0109749751576748	0.0124541287433272	0.0107580142222699	0.00597760329156375	0.0161778890413497	0.00133040093117106	0.00191280500767208	0.00891682274409597
Ssrp1	0.00122795784159858	0.00315339325020083	0.00182984863460177	0.00147695670603907	0.0013564941133212	0.0010090182659237	0.00149785301550703	0.00179924213933493
Tln1	0.00224694751221215	0.00478949305593804	0.00540316854280411	0.000791907577662629	0.00434457729797644	0.0020490184777568	0.00368213223401023	0.00303019151135517
Triobp	0.00444179851314596	0.00722114184305243	0.00639985730367575	0.00225198002276836	0.00443299261724227	0.00174832563190353	0.00243298675284198	0.00502105825774483
Vegfc	0.0477638289534789	0.0217296655247462	0.0447662679293944	0.0263198635545624	0.0132107288044252	0.0236184319174714	0.0222209773848088	0.0159819595965895
Wdr85	0.0211458389199016	0.0127224848742576	0.0131640871759232	0.0109592901773762	0.00974351312613082	0.00157778095728449	0.00303535544980111	0.00944809154732635
Zbtb4	0.00204141102177468	0.00442898100841024	0.00331699157214172	0.00259284747405666	0.00521454801527722	0.000732410534835718	0.00515242103329974	0.00375258875239611
